row_index,actual,pred,type,p_churn
2,1,0,FN,0.1922142493421885
4,0,1,FP,0.7295869486714379
13,0,1,FP,0.5843695637964617
17,1,0,FN,0.22543415060281427
21,0,1,FP,0.6855398984770564
23,1,0,FN,0.48953320335190315
24,0,1,FP,0.651856753777753
30,1,0,FN,0.10416773028514137
42,1,0,FN,0.3275884162301554
52,1,0,FN,0.09284819801038595
62,1,0,FN,0.4893145777989025
66,1,0,FN,0.48487072356046945
70,0,1,FP,0.6419497645719008
76,0,1,FP,0.7368604307838836
81,1,0,FN,0.39602419263953753
85,1,0,FN,0.34797119893680556
95,0,1,FP,0.5239270523088592
102,1,0,FN,0.390966941020548
114,1,0,FN,0.266914090814954
121,1,0,FN,0.2643371474209705
123,1,0,FN,0.42794342659614665
129,1,0,FN,0.2741367509070822
132,1,0,FN,0.4172914621625775
133,1,0,FN,0.47265635857792654
135,1,0,FN,0.3710774495003462
136,1,0,FN,0.483375685022287
141,0,1,FP,0.7308296690235118
143,1,0,FN,0.44725502199125733
145,1,0,FN,0.0735998722545398
149,0,1,FP,0.6049371538441921
150,1,0,FN,0.36881181544177366
153,1,0,FN,0.17677849394062847
160,1,0,FN,0.41514118413785306
178,1,0,FN,0.416487630138984
181,0,1,FP,0.614135230827482
186,0,1,FP,0.6658393186418163
188,1,0,FN,0.08441619629376902
197,1,0,FN,0.2739800836012625
198,1,0,FN,0.35276741185047944
202,1,0,FN,0.15634510978249822
206,1,0,FN,0.2742136867552912
214,1,0,FN,0.15595119160414736
218,0,1,FP,0.6219913964504785
221,1,0,FN,0.4158328365905641
228,0,1,FP,0.7663954972652199
236,1,0,FN,0.1423368983401011
241,1,0,FN,0.14714518001888624
242,0,1,FP,0.6788221406680616
243,0,1,FP,0.5878368407667156
244,1,0,FN,0.015835289423213262
249,1,0,FN,0.3218302717133733
254,1,0,FN,0.205135481109887
256,0,1,FP,0.7639155790089289
261,1,0,FN,0.21490383933437518
263,1,0,FN,0.2581501357330921
280,0,1,FP,0.5807223118111372
283,0,1,FP,0.5850277298348819
284,0,1,FP,0.5418963893032905
286,1,0,FN,0.393538803101321
297,1,0,FN,0.36192060600761666
298,1,0,FN,0.41081509343428024
301,0,1,FP,0.6322101882584643
306,1,0,FN,0.4976415585131065
308,1,0,FN,0.03630242489484393
310,1,0,FN,0.23990483002461244
316,0,1,FP,0.6405723053288014
323,0,1,FP,0.7464708758951619
333,1,0,FN,0.4849569989539151
340,1,0,FN,0.2539080229098886
341,0,1,FP,0.8692086472251093
343,1,0,FN,0.21509619081364342
347,0,1,FP,0.5211283123308719
349,1,0,FN,0.11411563465318444
350,0,1,FP,0.5741525973953747
361,0,1,FP,0.5038982536638218
366,0,1,FP,0.5107157572069637
367,0,1,FP,0.5021811859097354
371,0,1,FP,0.5056769858233887
372,1,0,FN,0.06643056688713322
373,1,0,FN,0.4469872265836824
377,1,0,FN,0.420844453932632
395,0,1,FP,0.6859991234104157
397,1,0,FN,0.12738478835839948
400,1,0,FN,0.2127987466688313
406,1,0,FN,0.34016167277261655
407,1,0,FN,0.2034703237788612
412,0,1,FP,0.577373592721592
414,0,1,FP,0.6489291282373963
417,1,0,FN,0.15699375721312217
420,0,1,FP,0.5997024266752123
426,1,0,FN,0.21460105790770181
428,1,0,FN,0.33745545094226687
435,1,0,FN,0.3847080578172161
444,1,0,FN,0.28310776625434225
446,1,0,FN,0.45278844038021293
447,1,0,FN,0.11098434696795403
448,0,1,FP,0.565353576060439
452,1,0,FN,0.4819202593661029
455,1,0,FN,0.18128980018375138
459,0,1,FP,0.5938284303443693
460,1,0,FN,0.24329976911289197
463,1,0,FN,0.3646076589562342
469,1,0,FN,0.1502873139471414
470,0,1,FP,0.7211421406598295
477,1,0,FN,0.21496327236180054
479,1,0,FN,0.31043693345029927
480,1,0,FN,0.18883898421524903
481,0,1,FP,0.5240472333000801
485,0,1,FP,0.5236304619068501
489,1,0,FN,0.41127683602646675
497,1,0,FN,0.29241614618897216
500,1,0,FN,0.48292580644546046
503,1,0,FN,0.010740830138021526
506,1,0,FN,0.17626950474823763
510,1,0,FN,0.34170030446448246
511,1,0,FN,0.34530482369419485
516,0,1,FP,0.7772681368804607
